event_day,event_date,event_title,event_url,organizer,blood_donation_location,start_time,end_time,blood_donor_target
Tuesday,2023-11-14,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR.",10.00 PAGI,9.00 MALAM,0
Tuesday,2023-11-14,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA.",10.00 PAGI,6.00 PETANG,0
Tuesday,2023-11-14,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,PUSAT KOMUNITI ST. JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (BERHAMPIRAN SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE, NO 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 PETANG,0
Tuesday,2023-11-14,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,IOI MALL PUTRAJAYA - PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT LEVEL P3 (BERHAMPIRAN MYNEWS) @ IOI CITY MALL PUTRAJAYA, IOI CITY TOWER TWO LEBUH IRC, IOI RESORT, 62502 PUTRAJAYA.",11.00 PAGI,4.00 PETANG,0
Wednesday,2023-11-15,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1154/-/kempen-derma-darah?Itemid=0,BESRAYA (M) SDN BHD,"BILIK LATIHAN, BANGUNAN PENTADBIRAN @ PLAZA TOL LOKE YEW, LEBUHRAYA SUNGAI BESI, 56100 SUNGAI BESI, KUALA LUMPUR.",SESI 1 10.00 PAGI – 1.45 TENGAH HARI,SESI 2 2.30 PETANG – 4.00 PETANG,0
Wednesday,2023-11-15,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR.",7.30 PAGI,5.30 PETANG,0
Wednesday,2023-11-15,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR.",10.00 PAGI,9.00 MALAM,0
Wednesday,2023-11-15,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA.",10.00 PAGI,6.00 PETANG,0
Wednesday,2023-11-15,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,PUSAT KOMUNITI ST. JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (BERHAMPIRAN SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE, NO 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 PETANG,0
Wednesday,2023-11-15,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,IOI MALL PUTRAJAYA - PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT LEVEL P3 (BERHAMPIRAN MYNEWS) @ IOI CITY MALL PUTRAJAYA, IOI CITY TOWER TWO LEBUH IRC, IOI RESORT, 62502 PUTRAJAYA.",11.00 PAGI,4.00 PETANG,0
Thursday,2023-11-16,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1155/-/kempen-derma-darah?Itemid=0,MAJLIS PERBANDARAN KAJANG,"LOBI, ARAS 1 @ MAJLIS PERBANDARAN KAJANG, MENARA MPKJ, JALAN CEMPAKA PUTIH OFF JALAN SEMENYIH, 43000 KAJANG, SELANGOR.",9.00 PAGI,3.00 PETANG,0
Thursday,2023-11-16,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1155/-/kempen-derma-darah?Itemid=0,COMMON GROUND PJ SDN BHD,"CONCOURSE AREA @ JAYA ONE, THE SQUARE, 72A, JALAN PROFESOR DIRAJA UNGKU AZIZ, SEKSYEN 13, 46200 PETALING JAYA, SELANGOR.",SESI 1 11.00 PAGI -  1.45 T/HARI,SESI 2 2.30 PETANG - 5.00 PETANG,0
Thursday,2023-11-16,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR.",7.30 PAGI,5.30 PETANG,0
Thursday,2023-11-16,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR.",10.00 PAGI,9.00 MALAM,0
Thursday,2023-11-16,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA.",10.00 PAGI,6.00 PETANG,0
Thursday,2023-11-16,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,PUSAT KOMUNITI ST. JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (BERHAMPIRAN SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE, NO 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 PETANG,0
Thursday,2023-11-16,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,IOI MALL PUTRAJAYA - PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT LEVEL P3 (BERHAMPIRAN MYNEWS) @ IOI CITY MALL PUTRAJAYA, IOI CITY TOWER TWO LEBUH IRC, IOI RESORT, 62502 PUTRAJAYA.",11.00 PAGI,4.00 PETANG,0
Friday,2023-11-17,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1156/-/kempen-derma-darah?Itemid=0,MALAYSIAN LIFE REINSURANCE GROUP BERHAD,"ARRIVAL HALL (DEPAN STARBUCK) @ KL SENTRAL, JALAN STESEN SENTRAL 5, KUALA LUMPUR SENTRAL, 50470 KUALA LUMPUR.",9.00 PAGI,3.00 PETANG,0
Friday,2023-11-17,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR.",7.30 PAGI,5.30 PETANG,0
Friday,2023-11-17,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR.",10.00 PAGI,9.00 MALAM,0
Friday,2023-11-17,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA.",10.00 PAGI,6.00 PETANG,0
Friday,2023-11-17,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,PUSAT KOMUNITI ST. JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (BERHAMPIRAN SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE, NO 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 PETANG,0
Friday,2023-11-17,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1150/-/pusat-pendermaan-statik?Itemid=0,IOI MALL PUTRAJAYA - PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT LEVEL P3 (BERHAMPIRAN MYNEWS) @ IOI CITY MALL PUTRAJAYA, IOI CITY TOWER TWO LEBUH IRC, IOI RESORT, 62502 PUTRAJAYA.",11.00 PAGI,4.00 PETANG,0
Saturday,2023-11-18,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1159/-/kempen-derma-darah?Itemid=0,LIONS CLUB OF PUCHONG (DISTRICT 308 B2),"LEVEL 3 (IN FRONT OF SUPERSAVER) @ IOI MALL PUCHONG, JALAN PUCHONG, BANDAR PUCHONG JAYA, 47171 PUCHONG, SELANGOR.",10.00 PAGI,5.00 PETANG,0
Saturday,2023-11-18,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1159/-/kempen-derma-darah?Itemid=0,YAYASAN MASYARAKAT LESTARI MALAYSIA,"GROUND FLOOR (AEON ELECTRICAL) @ AEON TAMAN EQUINE, JALAN EQUINE, PUSAT BANDAR PUTRA PERMAI, 43300 SERI KEMBANGAN, SELANGOR.",SESI 1 10.00 PAGI - 1.45 T/HARI,SESI 2 2.30 PETANG – 5.00 PETANG,0
Saturday,2023-11-18,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1159/-/kempen-derma-darah?Itemid=0,COMBI DWIPUTRA RESIDENCES,"LOBBY A2 (DEWAN), BLOK A @ DWIPUTRA RESIDENCES, PRESINT 15, JALAN P15H, 62050 PUTRAJAYA.",9.00 PAGI,2.00 PETANG,0
Saturday,2023-11-18,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1159/-/kempen-derma-darah?Itemid=0,KRT TAMAN DESA SENTOSA FASA 2,"DEWAN @ TAMAN DESA SENTOSA FASA 2, 43650 BANDAR BARU BANGI, SELANGOR.",9.00 PAGI,3.00 PETANG,0
Saturday,2023-11-18,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1159/-/kempen-derma-darah?Itemid=0,THE APPLE AUTO SERVICES & TYRES,"THE APPLE AUTO SERVICES & TYRES (PROTON BANGI 4S THE APPLE) @ LOT 2 & 7, JALAN 9/2, SEKSYEN 9, TAMAN IKS, KAWASAN PERUSAHAAN BANDAR BARU BANGI, 43650 BANDAR BARU BANGI, SELANGOR.",9.00 PAGI,3.00 PETANG,0
Saturday,2023-11-18,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1159/-/kempen-derma-darah?Itemid=0,UNIVERSITY OF STRATHCLYDE ALUMNI MALAYSIA (USAM),"2ND FLOOR (NEAR MR DIY & TENDER HEARTS) @ KL GATEWAY MALL, 2, JALAN KERINCHI, PANTAI DALAM, 59200 KUALA LUMPUR.",10.00 PAGI,3.00 PETANG,0
Saturday,2023-11-18,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1159/-/kempen-derma-darah?Itemid=0,GRACE KAJANG,"DEWAN SERBAGUNA BANDAR TEKNOLOGI KAJANG @ JALAN 1/11, BANDAR TEKNOLOGI KAJANG, 43500 SEMENYIH, SELANGOR. (KEMPEN INI DITUTUP PADA JAM 1.00PM KERANA SAMBUTAN YANG SANGAT MENGGALAKKAN)",9.00 PAGI,2.00 PETANG,0
Saturday,2023-11-18,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1151/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR.",8.00 PAGI,4.00 PETANG,0
Saturday,2023-11-18,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1151/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR.",10.00 PAGI,9.00 MALAM,0
Saturday,2023-11-18,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1151/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA.",10.00 PAGI,6.00 PETANG,0
Saturday,2023-11-18,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1151/-/pusat-pendermaan-statik?Itemid=0,PUSAT KOMUNITI ST. JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (BERHAMPIRAN SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE, NO 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 PETANG,0
Saturday,2023-11-18,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1151/-/pusat-pendermaan-statik?Itemid=0,IOI MALL PUTRAJAYA - PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT LEVEL P3 (BERHAMPIRAN MYNEWS) @ IOI CITY MALL PUTRAJAYA, IOI CITY TOWER TWO LEBUH IRC, IOI RESORT, 62502 PUTRAJAYA.",11.00 PAGI,6.00 PETANG,0
Sunday,2023-11-19,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1160/-/kempen-derma-darah?Itemid=0,THE ULU LANGAT DISTRICT HOKKIEN ASSOCIATION,"DEWAN PERSATUAN HOKKIEN ASSOCIATION @ THE ULU LANGAT DISTRICT HOKKIEN ASSOCIATION, NO.3, JALAN TIMUR, 43000 KAJANG, SELANGOR.",9.00 PAGI,3.00 PETANG,0
Sunday,2023-11-19,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1160/-/kempen-derma-darah?Itemid=0,VEDO WELLNESS SDN BHD,"GROUND FLOOR (DEPAN WATSON) @ LOTUS CHERAS, NO.2, JALAN MIDAH 2, TAMAN MIDAH, 56000 CHERAS, KUALA LUMPUR.",SESI 1 11.00 PAGI - 1.45 T/HARI,SESI 2 2.30 PETANG – 5.00 PETANG,0
Sunday,2023-11-19,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1160/-/kempen-derma-darah?Itemid=0,PERSATUAN AMAL SETIA GONG XIAN ZHE KUALA LUMPUR & SELANGOR,"GROUND FLOOR @ ENDAH PARADE SHOPPING MALL, 1, JALAN 1/149E, TAMAN SRI ENDAH, 57000 KUALA LUMPUR.",10.00 PAGI,5.00 PETANG,0
Sunday,2023-11-19,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1160/-/kempen-derma-darah?Itemid=0,PERSATUAN AMAL SETIA GONG XIAN ZHE KUALA LUMPUR & SELANGOR,"LEVEL 2 @ SOUTH CITY PLAZA, SERI KEMBANGAN, LOT NO. S2.72 (D2), PERSIARAN SERDANG PERDANA, SEKSYEN 1, TAMAN SERDANG PERDANA, 43300 SERI KEMBANGAN, SELANGOR.",10.00 PAGI,5.00 PETANG,0
Sunday,2023-11-19,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1151/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR.",8.00 PAGI,4.00 PETANG,0
Sunday,2023-11-19,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1151/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR.",10.00 PAGI,9.00 MALAM,0
Sunday,2023-11-19,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1151/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA.",10.00 PAGI,6.00 PETANG,0
Sunday,2023-11-19,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1151/-/pusat-pendermaan-statik?Itemid=0,PUSAT KOMUNITI ST. JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (BERHAMPIRAN SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE, NO 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 PETANG,0
Sunday,2023-11-19,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1151/-/pusat-pendermaan-statik?Itemid=0,IOI MALL PUTRAJAYA - PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT LEVEL P3 (BERHAMPIRAN MYNEWS) @ IOI CITY MALL PUTRAJAYA, IOI CITY TOWER TWO LEBUH IRC, IOI RESORT, 62502 PUTRAJAYA.",11.00 PAGI,6.00 PETANG,0
Monday,2023-11-20,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1163/-/kempen-derma-darah?Itemid=0,KEM PENDIDIKAN MALAYSIA-BHGN KHIDMAT PENGURUSAN,"LOBI AUDITORIUM @ KOMPLEKS E PUSAT PENTADBIRAN KERAJAAN PERSEKUTUAN, 62604, PUTRAJAYA",9.00 PAGI,3.00 PETANG,0
Monday,2023-11-20,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR",7.30 PAGI,5.30 PETANG,0
Monday,2023-11-20,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR",10.00 PAGI,9.00 MALAM,0
Monday,2023-11-20,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA",10.00 PAGI,6.00 PETANG,0
Monday,2023-11-20,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,PUSAT KOMUNITI ST. JOHN AMBULANS MALAYSIA (1 UTAMA SHOPPING CENTRE),"BASEMENT 2 (B2) NEW WING (BERHAMPIRAN SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE, NO 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR",11.00 PAGI,7.00 PETANG,0
Monday,2023-11-20,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,PUSAT KOMUNITI ST. JOHN AMBULANS MALAYSIA (IOI CITY MALL PUTRAJAYA),"BASEMENT LEVEL P3 (BERHAMPIRAN MYNEWS) @ IOI CITY MALL PUTRAJAYA, IOI CITY TOWER TWO LEBUH IRC, IOI RESORT, 62502 PUTRAJAYA",11.00 PAGI,4.00 PETANG,0
Tuesday,2023-11-21,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1169/-/kempen-derma-darah?Itemid=0,KEM PENDIDIKAN MALAYSIA-BHGN KHIDMAT PENGURUSAN,"LOBI AUDITORIUM @ KOMPLEKS E PUSAT PENTADBIRAN KERAJAAN PERSEKUTUAN, 62604, PUTRAJAYA Waktu kempen derma darah ditutup awal pada 1.00 pmberikutan sambutan yang amat menggalakan",9.00 PAGI,3.00 PETANG,0
Tuesday,2023-11-21,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1169/-/kempen-derma-darah?Itemid=0,UNIVERSITI TUN ABDUL RAZAK (UNIRAZAK),"DEWAN SEMINAR (GF) @ UNIVERSITI TUN ABDUL RAZAK (UNIRAZAK) LOT 195A, JALAN TUN RAZAK, HAMPSHIRE PARK, 50400 KUALA LUMPUR",10.00 PAGI,3.00 PETANG,0
Tuesday,2023-11-21,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR",7.30 PAGI,5.30 PETANG,0
Tuesday,2023-11-21,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR",10.00 PAGI,9.00 MALAM,0
Tuesday,2023-11-21,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA",10.00 PAGI,6.00 PETANG,0
Tuesday,2023-11-21,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,PUSAT KOMUNITI ST. JOHN AMBULANS MALAYSIA (1 UTAMA SHOPPING CENTRE),"BASEMENT 2 (B2) NEW WING (BERHAMPIRAN SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE, NO 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR",11.00 PAGI,7.00 PETANG,0
Tuesday,2023-11-21,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,PUSAT KOMUNITI ST. JOHN AMBULANS MALAYSIA (IOI CITY MALL PUTRAJAYA),"BASEMENT LEVEL P3 (BERHAMPIRAN MYNEWS) @ IOI CITY MALL PUTRAJAYA, IOI CITY TOWER TWO LEBUH IRC, IOI RESORT, 62502 PUTRAJAYA",11.00 PAGI,4.00 PETANG,0
Wednesday,2023-11-22,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1170/-/kempen-derma-darah?Itemid=0,UNIVERSITI TUN ABDUL RAZAK (UNIRAZAK),"DEWAN SEMINAR (GF) @ UNIVERSITI TUN ABDUL RAZAK (UNIRAZAK) LOT 195A, JALAN TUN RAZAK, HAMPSHIRE PARK, 50400 KUALA LUMPUR",10.00 PAGI,3.00 PETANG,0
Wednesday,2023-11-22,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1170/-/kempen-derma-darah?Itemid=0,HOSPITAL PUTRAJAYA,"LOBI UTAMA @ HOSPITAL PUTRAJAYA, PUSAT PENTADBIRAN KERAJAAN PERSEKUTUAN, PRESINT 7, 62250 PUTRAJAYA",SESI 1 10.00 PAGI- 1.45 PETANG,SESI 2 2.30 PETANG - 4.00 PETANG,0
Wednesday,2023-11-22,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR",7.30 PAGI,5.30 PETANG,0
Wednesday,2023-11-22,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR",10.00 PAGI,9.00 MALAM,0
Wednesday,2023-11-22,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/1161/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA",10.00 PAGI,6.00 PETANG,0
